MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq. Ft.,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank
5954378,349900.0,2021-03-22,39335 Truckton RD,80833,1944.0,1562497.2,38.7381942,-104.09940970000001,Falcon High School,NaN,Janitell Junior High School,NaN,Ridgeview Elementary School,NaN
5615163,325000.0,2021-03-09,508 Rowe LN,80911,2394.0,7900.0,38.7279834,-104.70882459999999,NaN,2,Janitell Junior High School,3,Grand Mountain School,3
2685285,247600.0,2021-03-15,2104 Rosewood LN,81005,2304.0,6534.0,38.9308739,-104.79134590000001,Mesa Ridge High School,2,Janitell Junior High School,3,NaN,3
8015012,375000.0,2021-03-22,321 LaClede AV,80905,1060.0,6500.0,38.8073133,-104.8350875,Aspen Valley Campus,5,Falcon Middle School,5,Sunrise Elementary School,4
9168228,319122.0,2021-03-16,5346 Passport VW,80922,1812.0,2396.0,38.8338816,-104.82136340000001,The Vanguard School (High),3,NaN,2,Grand Mountain School,NaN
6608192,465000.0,2021-03-18,12632 Longview Park LN,80831,3132.0,7970.0,38.988945,-104.592794,Palmer High School,3,Janitell Junior High School,3,NaN,4
1619075,321423.0,2021-03-19,5309 Passport VW,80922,1812.0,2396.0,38.8338816,-104.82136340000001,Falcon High School,3,Mountain Ridge Middle School,2,Meridian Ranch Elementary School,NaN
1736100,289000.0,2021-03-15,2505 Chimayo DR,80911,1208.0,7350.0,38.7630849,-104.7531194,Palmer High School,1,Cheyenne Mountain Junior High School,NaN,NaN,NaN
7837596,12000.0,2021-01-05,37281 Highway 24 HW,80830,1104.0,8756.0,39.1714948,-103.9718907,Discovery High School,NaN,North Middle School,NaN,Webster Elementary School,NaN
9227549,16000.0,2021-01-05,37131 Highway 24 HW,80830,1163.0,16030.0,39.1714478,-103.9724251,NaN,NaN,Falcon Middle School,NaN,High Plains Elementary School,NaN
7674186,120000.0,2021-01-07,1020 Ruppel ST,81001,1790.0,7150.0,38.2843445,-104.5926372,NaN,1,North Middle School,0,Skyway Park Elementary School,2
1178437,147500.0,2021-01-04,411 Lakewood CR #C602,80910,864.0,1073.0,38.8227643,-104.75966690000001,East High School,3,Sproul Junior High School,3,Coperni 2,0
5588607,152000.0,2021-01-05,2021 W 16th ST,81003,1168.0,6000.0,38.8431123,-104.8465375,Atlas Preparatory High School,NaN,NaN,3,NaN,1
9827448,157000.0,2021-01-04,3050 Starlight CR,80916,928.0,672.0,38.788592,-104.752874,Zebulon Pike,1,NaN,1,Meridian Ranch Elementary School,2
3243865,160000.0,2021-01-04,935 Saturn DR #4,80905,810.0,214.0,38.80686,-104.8452339,NaN,5,NaN,5,Coperni 2,4
4057113,185000.0,2021-01-05,609 Bennett AV #E,80909,928.0,404.0,38.8415335,-104.77964720000001,Sierra High School,0,Risley International Academy Of Innovation,1,NaN,1
1291112,192000.0,2021-01-08,2526 Plumtree GR,80907,912.0,541.0,38.8680978,-104.8388777,Cheyenne Mountain High School,3,Atlas Preparatory Middle School,3,Pinello Elementary School,4
9779131,195000.0,2021-01-04,2637 Hearthwood LN,80917,1000.0,1277.0,38.871427,-104.755292,Eastlake High School Of Colorado Springs,1,West Middle School,1,NaN,2
7721637,195500.0,2021-01-08,91 Duke ST,81005,1608.0,7562.0,38.9298404,-104.8014223,Coronado High School,2,Panorama Middle School,4,NaN,3
7471088,203800.0,2021-01-08,6520 Delmonico ST #201,80919,1406.0,423.0,38.9260224,-104.8296612,Mitchell High School,4,Cheyenne Mountain Junior High School,4,NaN,4
4522627,208500.0,2021-01-08,23756 Clear Spring LN,80928,1512.0,12632.0,38.764627,-104.387575,Aspen Valley Campus,2,Galileo School Of Math And Science,2,Franklin School Of Innovation,2
5830125,215500.0,2021-01-08,247 Hillside DR,80816,1056.0,27007.2,38.9474978,-105.2827308,Civa Charter Academy,NaN,Holmes Middle School,NaN,Monroe Elementary School,NaN
9234579,215900.0,2021-01-07,4234 Gray Fox HT,80922,1479.0,4000.0,38.8935718,-104.6865602,Ellicott Senior High School,2,Sabin Middle School,3,West Elementary School,
2870822,220000.0,2021-01-08,2762 Hearthwood LN,80917,901.0,901.0,38.873128,-104.75628909999999,NaN,4,Eagleview Middle School,1,Turman Elementary School,2
9960190,237000.0,2021-01-05,423 Ravenview CT,80919,1472.0,498.0,38.929612,-104.82005,Sand Creek High School,4,Eagleview Middle School,4,Skyway Park Elementary School,4
